YEAR;WEEK;START_DATE;MID_DATE;END_DATE;AGE;N_DEATH;FLAG
2010;51;2010-12-19;2010-12-22;2010-12-25;0-49;73;d
2010;52;2010-12-26;2010-12-29;2011-01-01;Total;1285;d
2010;52;2010-12-26;2010-12-29;2011-01-01;90+;220;d
2010;52;2010-12-26;2010-12-29;2011-01-01;80-89;446;d
2010;52;2010-12-26;2010-12-29;2011-01-01;70-79;299;d
2010;52;2010-12-26;2010-12-29;2011-01-01;60-69;154;d
2010;52;2010-12-26;2010-12-29;2011-01-01;50-59;98;d
2010;52;2010-12-26;2010-12-29;2011-01-01;0-49;68;d
2011;1;2011-01-02;2011-01-05;2011-01-08;Total;1331;d
2011;1;2011-01-02;2011-01-05;2011-01-08;90+;232;d
2011;1;2011-01-02;2011-01-05;2011-01-08;80-89;442;d
2011;1;2011-01-02;2011-01-05;2011-01-08;70-79;294;d
2011;1;2011-01-02;2011-01-05;2011-01-08;60-69;183;d
2011;1;2011-01-02;2011-01-05;2011-01-08;50-59;107;d
2011;1;2011-01-02;2011-01-05;2011-01-08;0-49;73;d
2011;2;2011-01-09;2011-01-12;2011-01-15;Total;1321;d
2011;2;2011-01-09;2011-01-12;2011-01-15;90+;226;d
2011;2;2011-01-09;2011-01-12;2011-01-15;80-89;440;d
2011;2;2011-01-09;2011-01-12;2011-01-15;70-79;316;d
2011;2;2011-01-09;2011-01-12;2011-01-15;60-69;176;d
2011;2;2011-01-09;2011-01-12;2011-01-15;50-59;96;d
2011;2;2011-01-09;2011-01-12;2011-01-15;0-49;67;d
2011;3;2011-01-16;2011-01-19;2011-01-22;Total;1304;d
2011;3;2011-01-16;2011-01-19;2011-01-22;90+;230;d
2011;3;2011-01-16;2011-01-19;2011-01-22;80-89;439;d
2011;3;2011-01-16;2011-01-19;2011-01-22;70-79;278;d
2011;3;2011-01-16;2011-01-19;2011-01-22;60-69;188;d
2011;3;2011-01-16;2011-01-19;2011-01-22;50-59;93;d
2011;3;2011-01-16;2011-01-19;2011-01-22;0-49;76;d
2011;4;2011-01-23;2011-01-26;2011-01-29;Total;1312;d
2011;4;2011-01-23;2011-01-26;2011-01-29;90+;224;d
2011;4;2011-01-23;2011-01-26;2011-01-29;80-89;435;d
2011;4;2011-01-23;2011-01-26;2011-01-29;70-79;284;d
2011;4;2011-01-23;2011-01-26;2011-01-29;60-69;174;d
2011;4;2011-01-23;2011-01-26;2011-01-29;50-59;111;d
2011;4;2011-01-23;2011-01-26;2011-01-29;0-49;84;d
2011;5;2011-01-30;2011-02-02;2011-02-05;Total;1290;d
2011;5;2011-01-30;2011-02-02;2011-02-05;90+;242;d
2011;5;2011-01-30;2011-02-02;2011-02-05;80-89;429;d
2011;5;2011-01-30;2011-02-02;2011-02-05;70-79;252;d
2011;5;2011-01-30;2011-02-02;2011-02-05;60-69;176;d
2011;5;2011-01-30;2011-02-02;2011-02-05;50-59;116;d
2011;5;2011-01-30;2011-02-02;2011-02-05;0-49;75;d
2011;6;2011-02-06;2011-02-09;2011-02-12;Total;1273;d
2011;6;2011-02-06;2011-02-09;2011-02-12;90+;217;d
2011;6;2011-02-06;2011-02-09;2011-02-12;80-89;413;d
2011;6;2011-02-06;2011-02-09;2011-02-12;70-79;300;d
